word,emotion
acceptance,0.7
achievement,0.8
adaptation,0.6
adjustment,0.1
adoption,0.6
advantage,0.6
altcoin,0.15
amateur,-0.3
analysis,0.5
asset,0.5
authenticity,0.4
autonomy,0.5
ban,-0.7
bear,-0.7
bitcoin,0.3
blockchain,0.2
boom,0.8
breakdown,-0.7
breakout,0.7
bull,0.8
bust,-0.85
buy,0.3
capital,0.5
centralization,-0.3
change,0.2
chart,0.2
collaboration,0.5
commission,-0.2
competition,0.2
concentration,-0.2
confidence,0.7
control,-0.4
correction,0.2
corruption,-0.8
crash,-0.9
crypto,0.2
decentralization,0.5
decline,-0.6
deflation,-0.4
degradation,-0.5
dependence,-0.4
depression,-0.9
development,0.6
disadvantage,-0.5
discipline,0.7
discount,0.5
diversification,0.6
dividend,0.5
downtrend,-0.7
dump,-0.7
economy,0.3
education,0.6
efficiency,0.6
emotion,-0.3
entry,0.4
equity,0.4
error,-0.4
ethereum,0.25
evolution,0.6
exchange,0.2
exit,0.3
expansion,0.6
experience,0.5
expertise,0.7
failure,-0.8
fear,-0.8
fee,-0.3
flexibility,0.5
fraud,-0.9
freedom,0.6
gain,0.85
gamble,-0.7
greed,-0.6
growth,0.7
hack,-0.9
hedge,0.3
ignorance,-0.6
improvement,0.6
impulse,-0.5
independence,0.6
indicator,0.3
inflation,-0.5
innovation,0.7
institutional,0.3
interest,0.4
invest,0.6
knowledge,0.7
learning,0.6
leverage,-0.3
liability,-0.4
liquidity,0.5
long,0.4
lose,-0.85
loss,-0.9
manipulation,-0.7
margin,-0.5
market,0.2
mastery,0.8
mistake,-0.5
momentum,0.6
monopoly,-0.5
noise,-0.3
novice,-0.2
opportunity,0.7
optimization,0.6
overvalued,-0.4
panic,-0.9
partnership,0.4
patience,0.6
pattern,0.4
plan,0.4
portfolio,0.3
poverty,-0.8
power,0.5
powerlessness,-0.6
practice,0.5
predictability,0.4
premium,-0.3
price,0.1
professional,0.6
progress,0.7
prosperity,0.8
profit,0.9
pump,-0.4
rally,0.75
rational,0.6
recession,-0.7
recovery,0.7
regulation,0.3
rejection,-0.6
research,0.4
resistance,-0.3
return,0.7
retail,0.0
reversal,-0.3
reward,0.8
rigidity,-0.4
risk,-0.6
scam,-0.95
security,0.5
sell,0.2
short,-0.4
signal,0.4
skill,0.6
speculate,-0.2
spread,-0.2
stability,0.5
stagnation,-0.5
strategy,0.5
success,0.9
support,0.5
talent,0.5
tax,-0.4
technology,0.4
theft,-0.9
threat,-0.6
token,0.1
trade,0.1
training,0.5
transparency,0.5
trend,0.3
trust,0.6
uncertainty,-0.5
undervalued,0.6
uptrend,0.7
value,0.5
verification,0.4
volatility,-0.4
vulnerability,-0.5
wallet,0.3
waste,-0.4
weakness,-0.4
wealth,0.8
whale,0.1
win,0.9
yield,0.6
